paper_table,paper_scenario_id,reproduction_scenario_id,metric_name,metric_family,confidence_level,paper_value,paper_unit,paper_value_dimensionless_candidate,reproduction_value_raw,absolute_error_raw,relative_error_raw,absolute_error_vs_dimensionless_candidate,relative_error_vs_dimensionless_candidate,comparison_status,diagnosis_note
Table 4-6,wind_speed_11_52mps,paper_wind_speed_11_52mps,CRI,paper_formula,0.95,6.3983,10^-4,0.00063983,0.00189049854665166,6.39640950145335,0.999704531118164,0.00125066854665166,1.9546888183606,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-6,wind_speed_11_76mps,paper_wind_speed_11_76mps,SLLR,,0.95,7.1037,10^-4,0.00071037,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_76mps,paper_wind_speed_11_76mps,SLFOR,,0.95,5.4123,10^-4,0.00054123,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_76mps,paper_wind_speed_11_76mps,SNVOR,,0.95,5.2681,10^-4,0.00052681,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_76mps,paper_wind_speed_11_76mps,CRI,basic,0.95,6.3983,10^-4,0.00063983,0.547046061674051,5.85125393832595,0.914501342282473,0.546406231674051,853.986577175267,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-6,wind_speed_11_76mps,paper_wind_speed_11_76mps,CRI,weighted,0.95,6.3983,10^-4,0.00063983,0.543497537682434,5.85480246231757,0.915055946472902,0.542857707682434,848.440535270985,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-6,wind_speed_11_76mps,paper_wind_speed_11_76mps,CRI,paper_formula,0.95,6.3983,10^-4,0.00063983,0.00232977388878459,6.39597022611122,0.999635876109469,0.00168994388878459,2.64123890531015,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-6,wind_speed_12_00mps,paper_wind_speed_12_00mps,SLLR,,0.95,6.6351,10^-4,0.00066351,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_12_00mps,paper_wind_speed_12_00mps,SLFOR,,0.95,4.7631,10^-4,0.00047631,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_12_00mps,paper_wind_speed_12_00mps,SNVOR,,0.95,4.9822,10^-4,0.00049822,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_12_00mps,paper_wind_speed_12_00mps,CRI,basic,0.95,5.9301,10^-4,0.00059301,0.606777481661994,5.32332251833801,0.897678372765722,0.606184471661994,1022.21627234278,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-6,wind_speed_12_00mps,paper_wind_speed_12_00mps,CRI,weighted,0.95,5.9301,10^-4,0.00059301,0.616438348328113,5.31366165167189,0.896049249029846,0.615845338328113,1038.50750970154,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-6,wind_speed_12_00mps,paper_wind_speed_12_00mps,CRI,paper_formula,0.95,5.9301,10^-4,0.00059301,0.00219600110468604,5.92790399889531,0.999629685653752,0.00160299110468604,2.70314346248131,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
