parameter_set_id,scenario_id,sample_variant,initial_branch,trial_id,chain_depth,terminated_reason,P_initial_line,chain_transition_probability,probability_status,R1_LLR,R2_LFOR,R3_NVOR,R_CRI_basic,R_CRI_recomputed,scale_convention,source_file,note
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,3,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,3,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,4,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,4,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,4,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,4,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,5,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,5,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,5,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,5,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,6,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,6,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,6,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,6,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,7,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,7,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,7,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,7,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,8,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,8,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,8,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,8,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,9,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,9,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,9,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,9,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,14,10,1,load_loss_threshold,0.000377,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,14,10,1,load_loss_threshold,0.000377,NaN,initial_probability_only,0.000377,0.000377,0.000377,0.000377,0.000377,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,14,10,1,load_loss_threshold,0.000377,NaN,initial_probability_only,3.77,3.77,3.77,3.77,3.77,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,14,10,1,load_loss_threshold,0.000377,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,1,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,1,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,1,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,1,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,2,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,2,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,2,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,2,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,3,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,3,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,3,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,3,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,4,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,4,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,4,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,4,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,5,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,5,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,5,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,5,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,6,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,6,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,6,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,6,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,7,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,7,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,7,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,7,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,8,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,8,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,8,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,8,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,9,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,9,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,9,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,9,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,15,10,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,15,10,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,15,10,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,15,10,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,16,1,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,16,1,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_display,16,1,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,0.23,0.23,0.23,0.23,0.23,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
medium_hidden_failure,concentrated_bus34,transition_probability_weighted,16,1,1,powerflow_not_converged,2.3e-05,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
medium_hidden_failure,concentrated_bus34,severity_only,16,2,1,powerflow_not_converged,2.3e-05,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
medium_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,16,2,1,powerflow_not_converged,2.3e-05,NaN,initial_probability_only,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\medium_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
